ref	KEM182-01	KEM182-02	KEM182-03	KEM182-04	KEM182-05	KEM182-06	KEM182-07	KEM182-08	KEM182-09	KEM182-10	KEM182-11	KEM182-12	KEM182-13	KEM182-14	KEM182-15	KEM182-16
ENSG00000055917	2504	1714	2087	1991	2304	1820	1714	2969	1513	1554	2023	1882	1909	2142	2124	2228
ENSG00000063245	1405	1072	1367	1316	1403	1147	878	1427	1473	2072	1639	1683	1848	1838	1456	1402
ENSG00000090263	455	339	444	463	412	315	317	499	341	312	469	534	418	440	432	485
ENSG00000109971	55400	55768	63149	63017	64996	52615	43222	75446	49444	70096	63470	67300	52201	45785	43032	42899
ENSG00000137193	99	73	109	69	71	66	56	102	65	70	88	94	199	192	148	181
ENSG00000188229	6666	6060	7403	7944	8438	6931	6087	10399	7901	12670	8614	10480	10015	8813	8054	8643
ENSG00000198182	49	42	48	55	35	38	35	92	45	51	40	50	41	43	49	69
ENSG00000198712	89785	81772	93377	95476	114201	82344	72489	118973	106228	137689	105660	116323	101823	77213	73562	73458
ENSG00000198804	135299	103494	116984	118165	127752	106615	92759	145105	131579	116367	148564	140030	131926	122057	112002	115951
ENSG00000224936	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226259	16	10	11	17	4	2	9	17	12	6	30	8	14	16	13	12
ENSG00000267890	8	7	9	1	8	6	2	6	3	8	4	7	4	0	0	4
ENSG00000268262	3	1	4	1	3	1	2	4	2	4	0	3	1	1	1	2
