"U2.2502.1","U2.2502.2","U2.2502.3","U2.2502.4","U6.2502.1","U6.2502.2","U6.2502.3","U6.2502.4","U2.0302.1","U2.0302.2","U2.0302.3","U6.0302.1","U6.0302.2","U6.0302.3","gene","U600","U200","LogFC","p.value","adjp","AvgExpr"
156,176,201,203,194,208,215,217,246,266,261,249,240,265,"YJR104C",226.9,215.6,0.02691,0.6746,0.8445,184
183,205,202,171,171,171,149,144,247,249,236,278,252,247,"YKL060C",201.7,213.3,-0.1265,0.1024,0.3634,190.25
180,184,198,185,161,160,166,168,193,175,155,179,165,154,"YDR155C",164.7,181.4,-0.1879,0.005241,0.05527,186.75
176,172,174,170,170,171,162,167,243,310,270,270,275,259,"YGR192C",210.6,216.4,-0.08501,0.0751,0.3027,173
171,182,137,103,159,164,116,113,409,384,364,395,358,355,"YOL086C",237.1,250,-0.1186,0.2509,0.5632,148.25
97,111,104,100,99,103,98,103,73,90,96,79,81,88,"YLR150W",93,95.9,-0.09311,0.08741,0.3296,103
68,74,74,61,79,83,82,66,148,147,130,153,148,141,"YPL037C",107.4,100.3,0.05514,0.3306,0.6182,69.25
60,64,67,78,63,62,67,74,85,80,76,78,65,69,"YDR418W (+1)",68.3,72.9,-0.1411,0.08525,0.327,67.25
69,73,67,66,62,66,58,51,79,91,77,92,95,90,"YLR167W",73.4,74.6,-0.06867,0.397,0.6678,68.75
55,63,65,60,61,63,62,67,119,112,103,114,107,108,"YBR072W",83.1,82.4,-0.03228,0.4703,0.7304,60.75
53,58,59,58,60,59,62,74,93,103,107,102,96,97,"YNL007C",78.6,75.9,0.005518,0.9262,0.9779,57
54,53,63,63,59,51,66,64,74,59,57,63,61,63,"YAL005C",61,60.4,-0.03437,0.6923,0.8512,58.25
58,65,68,54,61,63,64,62,73,84,75,65,63,58,"YDR382W",62.3,68.1,-0.1773,0.02119,0.1389,61.25
71,71,73,69,53,53,50,45,47,51,49,48,40,34,"YBL087C (+1)",46.1,61.6,-0.4663,2.376e-05,0.0006169,71
44,41,41,45,37,37,45,40,47,31,33,41,31,34,"YPR163C",37.9,40.3,-0.1388,0.2097,0.5283,42.75
